date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2014-06-03,sh.601939,5.2586261,5.2977722,5.2586261,5.2847235,30604013,123877730.0,0.319003,0.0,,
2014-06-04,sh.601939,5.2847235,5.2847235,5.2455774,5.2455774,25937886,104735833.0,0.270365,-0.0008782778846159189,,100.0
2014-06-05,sh.601939,5.2586261,5.3238696,5.2455774,5.3108209,31739128,128818763.0,0.330834,0.0009040966794415795,,75.48821548821591
2014-06-06,sh.601939,5.3108209,5.3369183,5.2847235,5.2847235,29373561,119557467.0,0.306177,0.0007503617709696542,,70.97688273273337
2014-06-09,sh.601939,5.2847235,5.3369183,5.2847235,5.3369183,27529497,112262732.0,0.286955,0.0027279787315608317,,68.72739626287633
2014-06-10,sh.601939,5.3369183,5.4021618,5.3108209,5.3891131,43695523,179329887.0,0.455463,0.006097397999584864,,72.1334920154305
2014-06-11,sh.601939,5.3891131,5.4282592,5.3630157,5.3891131,30676347,126835347.0,0.319757,0.0081532138425926,,75.02775907377622
2014-06-12,sh.601939,5.3760644,5.4152105,5.3760644,5.3891131,17549281,72532742.0,0.182926,0.009400608633303165,,77.08380808004438
2014-06-13,sh.601939,5.3891131,5.4413079,5.3760644,5.4282592,31849693,132344696.0,0.331987,0.012063552313573922,,79.00511419616898
2014-06-16,sh.601939,5.4282592,5.4674053,5.4152105,5.4674053,33496639,139582944.0,0.349154,0.015793452053728174,,80.751466815515
2014-06-17,sh.601939,5.4543566,5.4543566,5.3891131,5.4152105,30539459,126864636.0,0.31833,0.015486538803301642,,78.21564902132604
2014-06-18,sh.601939,5.4152105,5.4152105,5.3760644,5.4021618,20264196,83811853.0,0.211225,0.014334056457441235,,74.60168659411778
2014-06-19,sh.601939,5.4021618,5.4152105,5.349967,5.3630157,20700197,85244937.0,0.21577,0.01107790564835387,,69.0908786493662
2014-06-20,sh.601939,5.3630157,5.4152105,5.3369183,5.4021618,19798508,81761360.0,0.206371,0.010765512581913939,,63.43915194205997
2014-06-23,sh.601939,5.4021618,5.4282592,5.3630157,5.3760644,19144924,79173968.0,0.199558,0.008843901653875719,59.4594594594594,59.267521966071236
2014-06-24,sh.601939,5.3760644,5.3891131,5.349967,5.3760644,13460970,55448260.0,0.140311,0.007274636926778655,64.7058823529411,54.76190777617652
2014-06-25,sh.601939,5.3760644,5.3891131,5.3369183,5.349967,13086252,53727530.0,0.136405,0.004372550267622621,54.83870967741934,50.03027272793552
2014-06-26,sh.601939,5.349967,5.3760644,5.349967,5.3630157,15673223,64429619.0,0.163371,0.002919061411688517,60.0,45.91462740162415
2014-06-27,sh.601939,5.3630157,5.3760644,5.349967,5.3630157,15880054,65236149.0,0.165527,0.0017665362736920542,53.84615384615389,42.31132812937861
2014-06-30,sh.601939,5.3630157,5.4021618,5.3630157,5.3891131,15108131,62377684.0,0.15748,0.002558055584963803,50.0,40.42255842040639
2014-07-01,sh.601939,5.4021618,5.4021618,5.3630157,5.3891131,13130394,54139551.0,0.136865,0.0031389455734709415,50.0,38.75105406078603
2014-07-02,sh.601939,5.3891131,5.4021618,5.3630157,5.3891131,13131139,54183024.0,0.136873,0.0035512751041082424,50.0,37.2652257759135
2014-07-03,sh.601939,5.4021618,5.4413079,5.3891131,5.4413079,24322159,101147836.0,0.253523,0.007374963947202495,51.99999999999995,37.44327790047177
2014-07-04,sh.601939,5.4413079,5.4674053,5.4282592,5.4674053,21845123,91181550.0,0.227704,0.01205180564035846,50.0,38.32037216868774
2014-07-07,sh.601939,5.4674053,5.480454,5.4543566,5.480454,27517445,115322088.0,0.28683,0.0164539355274691,61.904761904762,39.41493128572047
2014-07-08,sh.601939,5.480454,5.5065514,5.4543566,5.5065514,33014178,138644952.0,0.344125,0.021520412199570238,68.18181818181826,40.93029741857034
2014-07-09,sh.601939,5.4935027,5.5196001,5.4543566,5.480454,43316085,182130830.0,0.451508,0.02336660414065772,71.42857142857143,42.52865373915687
2014-07-10,sh.601939,5.46640305,5.46640305,5.4242457,5.43829815,39011948,151312105.0,0.406643,0.021519448157135024,56.52204281483985,42.15428618291676
2014-07-11,sh.601939,5.43829815,5.5085604,5.4242457,5.4804555,23922540,93367305.0,0.249358,0.02286695826642049,67.80856480754875,42.68584540003651
2014-07-14,sh.601939,5.4804555,5.5085604,5.4523506,5.4804555,26148757,101920448.0,0.272563,0.023653506086128928,67.80856480754875,43.16902914750106
2014-07-15,sh.601939,5.49450795,5.52261285,5.4804555,5.52261285,28921807,113239345.0,0.301468,0.02707704375731712,77.92245473793085,43.865403494286376
2014-07-16,sh.601939,5.5085604,5.5366653,5.49450795,5.52261285,23536871,92410344.0,0.245338,0.029438774847163174,76.94954114885095,44.741025616036005
2014-07-17,sh.601939,5.52261285,5.52261285,5.4804555,5.49450795,23360242,91420430.0,0.243497,0.028863453434942343,70.27896087256177,44.76630034626676
2014-07-18,sh.601939,5.4804555,5.5085604,5.46640305,5.4804555,25227847,98480230.0,0.262964,0.027034239386507508,64.63053347667685,44.063646602621944
2014-07-21,sh.601939,5.46640305,5.4804555,5.4523506,5.4804555,18214834,70924221.0,0.189863,0.025292127738182124,64.63053347667685,42.74047436638267
2014-07-22,sh.601939,5.46640305,5.49450795,5.4523506,5.4804555,23992814,93552254.0,0.25009,0.023638198699763358,64.63053347667685,41.89329535196861
2014-07-23,sh.601939,5.4804555,5.5366653,5.46640305,5.52261285,37064132,145469570.0,0.38634,0.025256485096439185,63.455463884870525,42.02386894056573
2014-07-24,sh.601939,5.52261285,5.62098,5.52261285,5.60692755,49033627,194737287.0,0.511105,0.03262682889574986,69.35962066189899,43.314542217755836
2014-07-25,sh.601939,5.62098,5.6490849,5.60692755,5.6490849,29603246,118621629.0,0.308571,0.0412294161634863,71.64976129285212,44.77828124720868
2014-07-28,sh.601939,5.6771898,5.88797655,5.66313735,5.8458192,119084557,492697952.0,1.241284,0.06251817984162944,80.28695439474791,47.39454656502999
2014-07-29,sh.601939,5.8458192,5.8739241,5.8177143,5.8458192,50389261,209685218.0,0.525235,0.07846569099172118,84.21076286593268,49.80282068276238
2014-07-30,sh.601939,5.8458192,5.85987165,5.74745205,5.77555695,54030649,224089309.0,0.563191,0.08464997749002112,80.00000000000003,50.23483874536045
2014-07-31,sh.601939,5.77555695,5.83176675,5.77555695,5.83176675,35911076,148275214.0,0.374321,0.09285437376620909,80.48780487804879,50.63301435681416
2014-08-01,sh.601939,5.8177143,5.902029,5.80366185,5.83176675,62219764,259409485.0,0.648551,0.0982146714119656,80.48780487804879,51.44191393978659
2014-08-04,sh.601939,5.8458192,5.8739241,5.83176675,5.85987165,57818993,241138487.0,0.602679,0.10346439742891711,80.0,52.1882481488119
2014-08-05,sh.601939,5.8739241,5.88797655,5.83176675,5.8739241,38252323,159419195.0,0.398725,0.10748198428142341,80.48780487804879,52.96279755703643
2014-08-06,sh.601939,5.8458192,5.8458192,5.80366185,5.8177143,26906737,111494418.0,0.280464,0.10502597715124651,76.74418604651156,52.94850510808965
2014-08-07,sh.601939,5.83176675,5.83176675,5.7333996,5.74745205,37814297,155540018.0,0.394159,0.09642536650333788,70.2127659574468,51.3534185599671
2014-08-08,sh.601939,5.74745205,5.77555695,5.71934715,5.74745205,30180571,123439691.0,0.314589,0.08858678276626364,70.2127659574468,49.595619309081506
2014-08-11,sh.601939,5.74745205,5.80366185,5.74745205,5.7896094,25579635,105303011.0,0.266631,0.08473117982404155,72.0,48.28724106686837
2014-08-12,sh.601939,5.77555695,5.7896094,5.74745205,5.7615045,32116442,131663708.0,0.334767,0.07854193435752244,67.34693877551021,47.07721174334366
2014-08-13,sh.601939,5.74745205,5.80366185,5.74745205,5.80366185,37464743,153844605.0,0.390516,0.07610254422930218,65.21739130434784,46.12418076432163
2014-08-14,sh.601939,5.7896094,5.80366185,5.74745205,5.7615045,32645326,134302226.0,0.34028,0.07001221060084895,58.69565217391303,45.24228611785952
2014-08-15,sh.601939,5.7615045,5.80366185,5.7333996,5.77555695,29531968,121193963.0,0.307828,0.06554661078381141,42.42424242424244,44.06227392184266
2014-08-18,sh.601939,5.77555695,5.80366185,5.74745205,5.77555695,23592722,96949748.0,0.24592,0.06130005212468159,42.42424242424244,42.969808323860974
2014-08-19,sh.601939,5.77555695,5.7896094,5.7333996,5.7615045,28651912,117325923.0,0.298655,0.05616661978124249,48.27586206896547,41.569926640254124
2014-08-20,sh.601939,5.7615045,5.77555695,5.7333996,5.74745205,23277004,95266439.0,0.242629,0.050396088032619524,38.46153846153848,40.2733626571803
2014-08-21,sh.601939,5.74745205,5.74745205,5.6771898,5.71934715,32135265,130609008.0,0.334964,0.043082431348992145,35.714285714285765,37.627371334139035
2014-08-22,sh.601939,5.7052947,5.7333996,5.69124225,5.71934715,23529400,95669785.0,0.24526,0.03686143383410467,30.769230769230887,35.17578833723598
2014-08-25,sh.601939,5.71934715,5.7333996,5.6771898,5.69124225,22790069,92423664.0,0.237553,0.02934597055973054,25.92592592592601,32.6933230007279
2014-08-26,sh.601939,5.69124225,5.71934715,5.6771898,5.7052947,25638038,103948047.0,0.267239,0.024235084390115347,33.33333333333333,30.39254393123336
2014-08-27,sh.601939,5.7052947,5.7052947,5.6771898,5.6771898,13841384,56084848.0,0.144276,0.017730395349751404,38.095238095238116,28.259861602943786
2014-08-28,sh.601939,5.6771898,5.69124225,5.60692755,5.62098,28261634,113626982.0,0.294587,0.007981052477042283,32.00000000000004,27.84205977498645
2014-08-29,sh.601939,5.63503245,5.66313735,5.5928751,5.6490849,26352739,105385683.0,0.274689,0.0024792068858037197,29.166666666666643,27.705373526092522
2014-09-01,sh.601939,5.6490849,5.66313735,5.62098,5.63503245,36713107,147321247.0,0.382681,-0.002973255929143548,30.434782608695585,27.578628817814746
2014-09-02,sh.601939,5.6490849,5.71934715,5.63503245,5.71934715,47688897,192269038.0,0.497088,-0.0005238160684806203,38.461538461538424,25.89927445429208
2014-09-03,sh.601939,5.7052947,5.80366185,5.7052947,5.77555695,56326588,230705707.0,0.587123,0.005861054303402113,51.8518518518519,25.361881872534774
2014-09-04,sh.601939,5.7896094,5.8177143,5.7615045,5.80366185,38682405,159421385.0,0.403208,0.013027131174643714,53.57142857142855,25.084007121755153
2014-09-05,sh.601939,5.8177143,5.85987165,5.80366185,5.8458192,38026459,157831551.0,0.396371,0.021840201539626847,58.06451612903225,25.4374934657954
2014-09-09,sh.601939,5.8458192,5.85987165,5.8177143,5.83176675,24929619,103411411.0,0.259855,0.027379343089901198,58.06451612903225,25.76541343258733
2014-09-10,sh.601939,5.80366185,5.8177143,5.7615045,5.77555695,27180435,111946798.0,0.283317,0.026940360274829267,52.94117647058832,24.730101033012737
2014-09-11,sh.601939,5.7896094,5.83176675,5.7615045,5.77555695,40755396,167903384.0,0.424816,0.026289251681083314,56.25000000000006,24.006225285043424
