date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600519,735.4039860000,742.6138290000,731.7990645000,734.2984767400,736.4614296400,1304848,199563914.0000,1,0.125686,1,-0.293700,0
2014-06-04,sh.600519,735.3559203800,737.2304795600,721.0804312400,726.5118463000,734.2984767400,1049431,158991999.0000,1,0.101084,1,-1.060400,0
2014-06-05,sh.600519,726.3676494400,745.0171100000,717.7639034600,743.9116007400,726.5118463000,2067863,314507728.0000,1,0.199182,1,2.395000,0
2014-06-06,sh.600519,743.4790101600,748.1413753000,731.9913269800,738.2398575800,743.9116007400,947745,145936330.0000,1,0.091289,1,-0.762400,0
2014-06-09,sh.600519,732.0393926000,742.1331728000,732.0393926000,736.5094952600,738.2398575800,1003481,154198989.0000,1,0.096658,1,-0.234400,0
2014-06-10,sh.600519,736.6056265000,746.4110129800,736.6056265000,744.0557976000,736.5094952600,1930551,298186720.0000,1,0.185955,1,1.024600,0
2014-06-11,sh.600519,743.8154695000,746.8436035600,736.4133640200,739.9221542800,744.0557976000,1078145,166086241.0000,1,0.103850,1,-0.555600,0
2014-06-12,sh.600519,740.5470073400,740.5470073400,731.1742114400,733.6255580600,739.9221542800,1149960,175855795.0000,1,0.110767,1,-0.851000,0
2014-06-13,sh.600519,733.9139517800,739.3934324600,726.5599119200,734.4907392200,733.6255580600,1697046,259337717.0000,1,0.163464,1,0.117900,0
2014-06-16,sh.600519,734.9233298000,743.9596663600,732.5200488000,742.2293040400,734.4907392200,1623790,249568876.0000,1,0.156407,1,1.053600,0
2014-06-17,sh.600519,741.6525166000,741.6525166000,731.5587364000,736.3172327800,742.2293040400,1636486,250297887.0000,1,0.157630,1,-0.796500,0
2014-06-18,sh.600519,739.2492356000,742.3735009000,737.3266108000,738.1917919600,736.3172327800,1402456,215965707.0000,1,0.135088,1,0.254600,0
2014-06-19,sh.600519,738.0956607200,741.1718604000,733.0007050000,734.1062142600,738.1917919600,1155144,176868338.0000,1,0.111266,1,-0.553500,0
2014-06-20,sh.600519,733.9620174000,738.2879232000,732.1355238400,736.2691671600,734.1062142600,1201940,183993516.0000,1,0.115774,1,0.294600,0
