date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601857,9.0389829700,9.0983718200,9.0389829700,9.0627385100,9.0271052000,10979054,83872189.0000,1,0.006780,1,0.394700,0
2014-06-04,sh.601857,9.0627385100,9.1102495900,8.9914718900,9.0864940500,9.0627385100,14405735,109701536.0000,1,0.008897,1,0.262100,0
2014-06-05,sh.601857,9.1107565000,9.1107565000,9.0500990000,9.0986250000,9.0864935000,10015292,75005934.0000,1,0.006185,1,0.133500,0
2014-06-06,sh.601857,9.0986250000,9.0986250000,9.0379675000,9.0622305000,9.0986250000,6523204,48756955.0000,1,0.004029,1,-0.400000,0
2014-06-09,sh.601857,9.0500990000,9.1228880000,9.0379675000,9.0743620000,9.0622305000,7215667,54006118.0000,1,0.004456,1,0.133900,0
2014-06-10,sh.601857,9.0986250000,9.1471510000,9.0500990000,9.1107565000,9.0743620000,12780857,95966380.0000,1,0.007893,1,0.401100,0
2014-06-11,sh.601857,9.1107565000,9.1228880000,9.0622305000,9.1107565000,9.1107565000,11516534,86287204.0000,1,0.007112,1,0.000000,0
2014-06-12,sh.601857,9.0986250000,9.1107565000,9.0743620000,9.0986250000,9.1107565000,9733423,73009685.0000,1,0.006011,1,-0.133200,0
2014-06-13,sh.601857,9.0986250000,9.1592825000,9.0864935000,9.1592825000,9.0986250000,16646029,125279006.0000,1,0.010280,1,0.666700,0
2014-06-16,sh.601857,9.1592825000,9.2563345000,9.1350195000,9.2442030000,9.1592825000,21731538,164951275.0000,1,0.013421,1,0.927100,0
2014-06-17,sh.601857,9.2442030000,9.2442030000,9.1471510000,9.1956770000,9.2442030000,14333528,108473236.0000,1,0.008852,1,-0.524900,0
2014-06-18,sh.601857,9.1592825000,9.1956770000,9.1471510000,9.1835455000,9.1956770000,11971365,90454902.0000,1,0.007393,1,-0.131900,0
2014-06-19,sh.601857,9.1714140000,9.2078085000,9.0986250000,9.1228880000,9.1835455000,15777973,119211566.0000,1,0.009744,1,-0.660500,0
2014-06-20,sh.601857,9.1228880000,9.1714140000,9.0864935000,9.1714140000,9.1228880000,11804750,88773341.0000,1,0.007290,1,0.531900,0
2014-06-23,sh.601857,9.1592825000,9.1835455000,9.1107565000,9.1228880000,9.1714140000,6514651,49074614.0000,1,0.004023,1,-0.529100,0
2014-06-24,sh.601857,9.1350195000,9.1592825000,9.0986250000,9.1350195000,9.1228880000,6732394,50634163.0000,1,0.004158,1,0.133000,0
2014-06-25,sh.601857,9.1107565000,9.1471510000,9.0743620000,9.1350195000,9.1350195000,12391333,93014082.0000,1,0.007653,1,0.000000,0
2014-06-26,sh.601857,9.1228880000,9.1471510000,9.0864935000,9.1350195000,9.1350195000,14218091,106904341.0000,1,0.008781,1,0.000000,0
