date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601628,15.4884660000,15.6322874700,15.4442132400,15.5105923800,15.4884660000,6831501,96169551.0000,1,0.032807,1,0.142900,0
2014-06-04,sh.601628,15.5327187600,15.5327187600,15.2672022000,15.3557077200,15.5105923800,5333330,74048977.0000,1,0.025612,1,-0.998600,0
2014-06-05,sh.601628,15.3667709100,15.7539825600,15.2450758200,15.7207929900,15.3557077200,11095559,156265367.0000,1,0.053284,1,2.377500,0
2014-06-06,sh.601628,15.7207929900,15.8092985100,15.6212242800,15.6876034200,15.7207929900,8155529,115847957.0000,1,0.039165,1,-0.211100,0
2014-06-09,sh.601628,15.7207929900,16.0416255000,15.5990979000,15.7982353200,15.6876034200,12749001,183195856.0000,1,0.061224,1,0.705200,0
2014-06-10,sh.601628,15.8203617000,16.0969414500,15.7318561800,15.9973727400,15.7982353200,11474006,165587272.0000,1,0.055101,1,1.260500,0
2014-06-11,sh.601628,15.9973727400,16.0305623100,15.8978040300,15.9199304100,15.9973727400,5327306,76792388.0000,1,0.025583,1,-0.484100,0
2014-06-12,sh.601628,15.9199304100,15.9309936000,15.6986666100,15.8092985100,15.9199304100,6697772,95753396.0000,1,0.032164,1,-0.694900,0
2014-06-13,sh.601628,15.7761089400,16.0748150700,15.7318561800,15.9973727400,15.8092985100,8359741,120670959.0000,1,0.040146,1,1.189600,0
2014-06-16,sh.601628,15.9752463600,16.1411942100,15.9309936000,16.0969414500,15.9973727400,8364420,121393325.0000,1,0.040168,1,0.622400,0
2014-06-17,sh.601628,16.0416255000,16.0858782600,15.7097298000,15.7650457500,16.0969414500,7036180,100839988.0000,1,0.033790,1,-2.061900,0
2014-06-18,sh.601628,15.7650457500,15.8314248900,14.3821470000,15.5659083300,15.7650457500,8498652,120232983.0000,1,0.040813,1,-1.263200,0
2014-06-19,sh.601628,15.5437819500,15.6544138500,15.3225181500,15.3557077200,15.5659083300,6874545,96156290.0000,1,0.033013,1,-1.350400,0
2014-06-20,sh.601628,15.3778341000,15.6212242800,15.3557077200,15.5437819500,15.3557077200,4604486,64226709.0000,1,0.022112,1,1.224800,0
2014-06-23,sh.601628,15.4884660000,15.6544138500,15.2893285800,15.3225181500,15.5437819500,6902027,96484986.0000,1,0.033145,1,-1.423500,0
2014-06-24,sh.601628,15.3778341000,15.4442132400,15.3003917700,15.3778341000,15.3225181500,5491343,76294417.0000,1,0.026371,1,0.361000,0
2014-06-25,sh.601628,15.4795978700,15.4795978700,15.2421460400,15.2760677300,15.3778328000,5048264,68326585.0000,1,0.024243,1,-0.661800,0
