date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601766,6.5432741600,6.5805224000,6.5060259200,6.5556902400,6.5929384800,78749075,415072170.1500,1,0.323700,1,-0.565000,0
2021-01-05,sh.601766,6.5184420000,7.0771656000,6.5184420000,6.6426028000,6.5556902400,286894912,1570792003.6700,1,1.179300,1,1.325800,0
2021-01-06,sh.601766,6.7543475200,7.3130711200,6.7170992800,7.3130711200,6.6426028000,346365504,1977954009.4400,1,1.423700,1,10.093500,0
2021-01-07,sh.601766,7.4620640800,7.8966268800,7.2509907200,7.6234731200,7.3130711200,604338288,3688554157.3100,1,2.484100,1,4.244500,0
2021-01-08,sh.601766,7.4248158400,7.4868962400,7.2758228800,7.3130711200,7.6234731200,276608048,1641548851.1600,1,1.137000,1,-4.071700,0
2021-01-11,sh.601766,7.3254872000,7.8593786400,7.2137424800,7.6234731200,7.3130711200,393088768,2426000262.3500,1,1.615800,1,4.244500,0
2021-01-12,sh.601766,7.6483052800,8.0083716000,7.5986409600,7.8345464800,7.6234731200,330092592,2093548994.7500,1,1.356900,1,2.768700,0
2021-01-13,sh.601766,7.7352178400,8.6167595200,7.7228017600,8.6167595200,7.8345464800,730463760,4925530751.5000,1,3.002600,1,9.984200,0
2021-01-14,sh.601766,8.6912560000,9.4734690400,8.5298469600,9.4734690400,8.6167595200,792210672,5888225122.0300,1,3.256400,1,9.942400,0
2021-01-15,sh.601766,9.6845424000,9.6845424000,8.6167595200,8.8650811200,9.4734690400,890425200,6543605283.3300,1,3.660100,1,-6.422000,0
2021-01-18,sh.601766,8.6415916800,9.2375635200,8.6291756000,9.0389062400,8.8650811200,534118784,3848919663.0000,1,2.195500,1,1.960800,0
2021-01-19,sh.601766,8.9147454400,9.1258188000,8.3808540000,8.4181022400,9.0389062400,509658192,3569247423.1300,1,2.095000,1,-6.868100,0
2021-01-20,sh.601766,8.4305183200,8.8278328800,8.2318610400,8.5298469600,8.4181022400,423582832,2911913179.6700,1,1.741100,1,1.327400,0
2021-01-21,sh.601766,8.4677665600,8.7160881600,8.2566932000,8.6167595200,8.5298469600,385621920,2630981256.4300,1,1.585100,1,1.018900,0
2021-01-22,sh.601766,8.5422630400,8.5422630400,8.1077002400,8.1449484800,8.6167595200,346119120,2306939184.9600,1,1.422700,1,-5.475500,0
2021-01-25,sh.601766,8.2194449600,8.3808540000,8.0083716000,8.1697806400,8.1449484800,270175408,1778889652.3200,1,1.110600,1,0.304900,0
2021-01-26,sh.601766,8.0828680800,8.1821967200,7.8966268800,8.1325324000,8.1697806400,230622125,1493689753.9900,1,0.948000,1,-0.455900,0
2021-01-27,sh.601766,8.0828680800,8.6043434400,8.0207876800,8.3932700800,8.1325324000,359038208,2427030223.4400,1,1.475800,1,3.206100,0
2021-01-28,sh.601766,8.2442771200,8.2566932000,8.0083716000,8.0580359200,8.3932700800,202627954,1326607559.5100,1,0.832900,1,-3.994100,0
2021-01-29,sh.601766,8.1077002400,8.1449484800,7.6358892000,7.7600500000,8.0580359200,216437177,1364246131.1600,1,0.889700,1,-3.698000,0
2021-02-01,sh.601766,7.6979696000,7.8221304000,7.5986409600,7.7352178400,7.7600500000,132484657,823842501.4300,1,0.544600,1,-0.320000,0
2021-02-02,sh.601766,7.7600500000,7.9711233600,7.6731374400,7.7848821600,7.7352178400,162428340,1024788735.8100,1,0.667700,1,0.642100,0
2021-02-03,sh.601766,7.7103856800,7.7352178400,7.4496480000,7.4620640800,7.7848821600,198419762,1204054479.1300,1,0.815600,1,-4.146700,0
2021-02-04,sh.601766,7.4496480000,7.5986409600,7.3254872000,7.5117284000,7.4620640800,158592703,952429339.4800,1,0.651900,1,0.665600,0
2021-02-05,sh.601766,7.4620640800,7.5862248800,7.3999836800,7.3999836800,7.5117284000,107439252,646663578.3200,1,0.441600,1,-1.487600,0
2021-02-08,sh.601766,7.3875676000,7.5117284000,7.2758228800,7.3751515200,7.3999836800,107576285,640569620.7800,1,0.442200,1,-0.335600,0
2021-02-09,sh.601766,7.3999836800,7.6979696000,7.3875676000,7.6855535200,7.3751515200,165006800,1012061283.7800,1,0.678300,1,4.208800,0
2021-02-10,sh.601766,7.6731374400,7.7103856800,7.5738088000,7.6234731200,7.6855535200,113054676,694066539.3700,1,0.464700,1,-0.807800,0
2021-02-18,sh.601766,7.9711233600,8.0332037600,7.7352178400,7.7476339200,7.6234731200,154140423,974777110.1500,1,0.633600,1,1.628700,0
2021-02-19,sh.601766,7.7352178400,8.5174308800,7.7103856800,8.5174308800,7.7476339200,326081920,2149317237.9400,1,1.340400,1,9.935900,0
2021-02-22,sh.601766,8.7036720800,9.1134027200,8.4925987200,8.6043434400,8.5174308800,414016624,2937984231.5400,1,1.701800,1,1.020400,0
2021-02-23,sh.601766,8.4925987200,8.9147454400,8.3436057600,8.3932700800,8.6043434400,267319703,1856437518.7500,1,1.098800,1,-2.453100,0
2021-02-24,sh.601766,8.4056861600,9.0016580000,8.3063575200,8.8278328800,8.3932700800,290759296,2016488080.3900,1,1.195200,1,5.177500,0
2021-02-25,sh.601766,8.8899132800,9.2127313600,8.7657524800,9.0513223200,8.8278328800,355114816,2581510286.6500,1,1.459700,1,2.531600,0
2021-02-26,sh.601766,8.8402489600,8.9023293600,8.4925987200,8.5174308800,9.0513223200,280288256,1955778530.8600,1,1.152100,1,-5.898500,0
2021-03-01,sh.601766,8.5795112800,8.8774972000,8.3684379200,8.8154168000,8.5174308800,224822537,1563321145.4200,1,0.924100,1,3.498500,0
2021-03-02,sh.601766,8.8030007200,8.8030007200,8.4553504800,8.5546791200,8.8154168000,176382230,1219862350.4400,1,0.725000,1,-2.957700,0
2021-03-03,sh.601766,8.5670952000,8.7409203200,8.4181022400,8.6167595200,8.5546791200,147885241,1023102319.1900,1,0.607900,1,0.725700,0
2021-03-04,sh.601766,8.4801826400,8.5174308800,8.2815253600,8.2815253600,8.6167595200,163867135,1105521116.5100,1,0.673600,1,-3.890500,0
2021-03-05,sh.601766,8.2070288800,8.4677665600,8.1946128000,8.2815253600,8.2815253600,118846167,797575080.4700,1,0.488500,1,0.000000,0
2021-03-08,sh.601766,8.3187736000,8.4677665600,8.1946128000,8.2070288800,8.2815253600,121477895,813627912.2500,1,0.499300,1,-0.899600,0
2021-03-09,sh.601766,8.2070288800,8.3187736000,7.8221304000,8.0456198400,8.2070288800,145873918,949416932.4000,1,0.599600,1,-1.966700,0
2021-03-10,sh.601766,8.0952841600,8.2194449600,7.9462912000,7.9587072800,8.0456198400,84452874,548255002.6600,1,0.347100,1,-1.080200,0
2021-03-11,sh.601766,7.9587072800,8.1077002400,7.9587072800,8.0704520000,7.9587072800,97260001,629478801.3600,1,0.399800,1,1.404100,0
2021-03-12,sh.601766,8.0704520000,8.3932700800,7.9711233600,8.3063575200,8.0704520000,166952936,1106102505.4700,1,0.686300,1,2.923100,0
2021-03-15,sh.601766,8.2442771200,8.3932700800,8.2070288800,8.2939414400,8.3063575200,110612838,738686849.5200,1,0.454700,1,-0.149500,0
2021-03-16,sh.601766,8.3187736000,8.3560218400,8.1821967200,8.2815253600,8.2939414400,94651730,628392221.4200,1,0.389100,1,-0.149700,0
2021-03-17,sh.601766,8.2815253600,8.2815253600,8.1325324000,8.1449484800,8.2815253600,70513860,465358384.2700,1,0.289800,1,-1.649200,0
2021-03-18,sh.601766,8.1325324000,8.1946128000,8.0332037600,8.0456198400,8.1449484800,77668199,506069549.7100,1,0.319300,1,-1.219500,0
2021-03-19,sh.601766,7.9587072800,7.9835394400,7.8221304000,7.8221304000,8.0456198400,107825773,685698288.7900,1,0.443200,1,-2.777800,0
2021-03-22,sh.601766,7.8221304000,8.0083716000,7.7972982400,7.9338751200,7.8221304000,90602312,577027827.0000,1,0.372400,1,1.428600,0
2021-03-23,sh.601766,7.8966268800,8.0083716000,7.8221304000,7.8469625600,7.9338751200,66488268,422313526.3800,1,0.273300,1,-1.095500,0
2021-03-24,sh.601766,7.8221304000,7.8469625600,7.5862248800,7.6110570400,7.8469625600,118462523,732673674.5400,1,0.486900,1,-3.006300,0
2021-03-25,sh.601766,7.6110570400,7.7103856800,7.5862248800,7.6358892000,7.6110570400,49063343,302468662.9600,1,0.201700,1,0.326300,0
2021-03-26,sh.601766,7.6483052800,7.8221304000,7.6358892000,7.7724660800,7.6358892000,66185507,413256707.5600,1,0.272100,1,1.788600,0
2021-03-29,sh.601766,7.7724660800,7.8469625600,7.7103856800,7.7476339200,7.7724660800,60054060,376219628.3900,1,0.246900,1,-0.319500,0
2021-03-30,sh.601766,7.7600500000,7.8469625600,7.7103856800,7.7972982400,7.7476339200,53519183,335423010.7700,1,0.220000,1,0.641000,0
2021-03-31,sh.601766,7.8097143200,8.0456198400,7.7972982400,7.9711233600,7.7972982400,124599486,798423240.1000,1,0.512200,1,2.229300,0
2021-04-01,sh.601766,7.9090429600,7.9587072800,7.7972982400,7.8717947200,7.9711233600,83240279,526701249.4300,1,0.342200,1,-1.246100,0
2021-04-02,sh.601766,7.8469625600,7.8593786400,7.7228017600,7.7476339200,7.8717947200,61740232,385658624.6500,1,0.253800,1,-1.577300,0
2021-04-06,sh.601766,7.7352178400,7.8097143200,7.6731374400,7.7724660800,7.7476339200,81991160,509716207.8700,1,0.337000,1,0.320500,0
2021-04-07,sh.601766,7.7476339200,7.9214590400,7.7103856800,7.8469625600,7.7724660800,80253170,507427587.7100,1,0.329900,1,0.958500,0
2021-04-08,sh.601766,7.8221304000,7.8469625600,7.6855535200,7.6979696000,7.8469625600,80476968,501790371.6400,1,0.330800,1,-1.898700,0
2021-04-09,sh.601766,7.7103856800,7.7848821600,7.6731374400,7.6979696000,7.6979696000,46886576,291365054.3600,1,0.192700,1,0.000000,0
2021-04-12,sh.601766,7.7600500000,7.8097143200,7.6855535200,7.7228017600,7.6979696000,58529320,364871956.3800,1,0.240600,1,0.322600,0
2021-04-13,sh.601766,7.7103856800,7.7228017600,7.5862248800,7.5986409600,7.7228017600,54966551,337359655.9100,1,0.225900,1,-1.607700,0
2021-04-14,sh.601766,7.5862248800,7.6855535200,7.5862248800,7.6607213600,7.5986409600,40640182,249970753.0400,1,0.167100,1,0.817000,0
2021-04-15,sh.601766,7.6607213600,7.6607213600,7.5365605600,7.5738088000,7.6607213600,47733896,291152999.7400,1,0.196200,1,-1.134500,0
2021-04-16,sh.601766,7.5862248800,7.7352178400,7.5862248800,7.6979696000,7.5738088000,57265603,353053293.6600,1,0.235400,1,1.639300,0
2021-04-19,sh.601766,7.7228017600,7.8345464800,7.7103856800,7.8221304000,7.6979696000,82243627,515078525.1200,1,0.338100,1,1.612900,0
2021-04-20,sh.601766,7.8097143200,7.8097143200,7.6979696000,7.7103856800,7.8221304000,62532244,389348081.6700,1,0.257000,1,-1.428600,0
2021-04-21,sh.601766,7.6979696000,7.7103856800,7.6234731200,7.6358892000,7.7103856800,47222363,290641604.9000,1,0.194100,1,-0.966200,0
2021-04-22,sh.601766,7.6110570400,7.6979696000,7.6110570400,7.6358892000,7.6358892000,37350401,229865690.6300,1,0.153500,1,0.000000,0
2021-04-23,sh.601766,7.6358892000,7.6358892000,7.5365605600,7.5986409600,7.6358892000,57573684,350883022.1700,1,0.236700,1,-0.487800,0
2021-04-26,sh.601766,7.5862248800,7.5986409600,7.4496480000,7.4620640800,7.5986409600,73119126,443418268.9100,1,0.300600,1,-1.797400,0
2021-04-27,sh.601766,7.4620640800,7.4993123200,7.3875676000,7.4620640800,7.4620640800,53556713,320806760.5900,1,0.220100,1,0.000000,0
2021-04-28,sh.601766,7.4744801600,7.5613927200,7.4248158400,7.5117284000,7.4620640800,46532111,281204309.9400,1,0.191300,1,0.665600,0
2021-04-29,sh.601766,7.5117284000,7.5489766400,7.4620640800,7.5241444800,7.5117284000,38476456,232739336.0000,1,0.158200,1,0.165300,0
2021-04-30,sh.601766,7.5241444800,7.5365605600,7.3875676000,7.4123997600,7.5241444800,52157179,312457109.8400,1,0.214400,1,-1.485100,0
2021-05-06,sh.601766,7.4372319200,7.4993123200,7.3999836800,7.4248158400,7.4123997600,46357713,278054017.1200,1,0.190600,1,0.167500,0
2021-05-07,sh.601766,7.4248158400,7.5365605600,7.4123997600,7.4993123200,7.4248158400,59723652,359414291.8700,1,0.245500,1,1.003300,0
2021-05-10,sh.601766,7.4868962400,7.4993123200,7.3999836800,7.4372319200,7.4993123200,62412938,373786332.7500,1,0.256500,1,-0.827800,0
2021-05-11,sh.601766,7.3999836800,7.4372319200,7.3254872000,7.4248158400,7.4372319200,64314376,381753883.2100,1,0.264400,1,-0.166900,0
2021-05-12,sh.601766,7.3999836800,7.4123997600,7.3503193600,7.4123997600,7.4248158400,40174310,238879971.7200,1,0.165100,1,-0.167200,0
2021-05-13,sh.601766,7.3999836800,7.8221304000,7.3627354400,7.7352178400,7.4123997600,197537662,1220585348.2200,1,0.812000,1,4.355100,0
2021-05-14,sh.601766,7.6358892000,7.7103856800,7.5986409600,7.6855535200,7.7352178400,112742116,695045693.7700,1,0.463400,1,-0.642100,0
2021-05-17,sh.601766,7.6483052800,7.8097143200,7.6358892000,7.6607213600,7.6855535200,74931828,464555277.2900,1,0.308000,1,-0.323100,0
2021-05-18,sh.601766,7.6731374400,7.7352178400,7.6110570400,7.6731374400,7.6607213600,56097060,345973432.8400,1,0.230600,1,0.162100,0
2021-05-19,sh.601766,7.6731374400,7.6979696000,7.5613927200,7.5862248800,7.6731374400,62682935,383421975.4000,1,0.257700,1,-1.132700,0
2021-05-20,sh.601766,7.5489766400,7.5613927200,7.4620640800,7.5117284000,7.5862248800,61326301,370449946.1500,1,0.252100,1,-0.982000,0
2021-05-21,sh.601766,7.4993123200,7.5862248800,7.4744801600,7.4868962400,7.5117284000,40908006,247800559.1100,1,0.168200,1,-0.330600,0
2021-05-24,sh.601766,7.4744801600,7.5117284000,7.4620640800,7.4993123200,7.4868962400,38122820,229922932.5200,1,0.156700,1,0.165800,0
2021-05-25,sh.601766,7.4868962400,7.6358892000,7.4496480000,7.6110570400,7.4993123200,91529799,558074168.9100,1,0.376200,1,1.490100,0
2021-05-26,sh.601766,7.5862248800,7.7476339200,7.5738088000,7.6483052800,7.6110570400,86358941,532589688.6800,1,0.355000,1,0.489400,0
2021-05-27,sh.601766,7.6358892000,7.6483052800,7.5862248800,7.6110570400,7.6483052800,51941504,318217561.8400,1,0.213500,1,-0.487000,0
2021-05-28,sh.601766,7.6110570400,7.6358892000,7.5241444800,7.5365605600,7.6110570400,55140665,335872578.6100,1,0.226700,1,-0.978800,0
2021-05-31,sh.601766,7.5241444800,7.5365605600,7.4744801600,7.5117284000,7.5365605600,47625554,287414539.2400,1,0.195800,1,-0.329500,0
2021-06-01,sh.601766,7.5241444800,7.5613927200,7.4868962400,7.5365605600,7.5117284000,43468954,263563683.5100,1,0.178700,1,0.330600,0
2021-06-02,sh.601766,7.5489766400,7.5613927200,7.4620640800,7.4744801600,7.5365605600,54631649,329166988.3400,1,0.224600,1,-0.823700,0
2021-06-03,sh.601766,7.4744801600,7.5613927200,7.4620640800,7.4744801600,7.4744801600,53234106,321365353.9400,1,0.218800,1,0.000000,0
2021-06-04,sh.601766,7.4620640800,7.5241444800,7.4372319200,7.4744801600,7.4744801600,51752849,311285320.2000,1,0.212700,1,0.000000,0
2021-06-07,sh.601766,7.4868962400,7.6358892000,7.4744801600,7.5862248800,7.4744801600,77324194,471132970.2000,1,0.317800,1,1.495000,0
2021-06-08,sh.601766,7.6110570400,7.6110570400,7.5117284000,7.5241444800,7.5862248800,52429347,318293103.9000,1,0.215500,1,-0.818300,0
2021-06-09,sh.601766,7.5241444800,7.5613927200,7.4868962400,7.5241444800,7.5241444800,40004547,242026206.0700,1,0.164400,1,0.000000,0
2021-06-10,sh.601766,7.5862248800,7.7228017600,7.5862248800,7.6358892000,7.5241444800,118755653,732021205.0700,1,0.488100,1,1.485100,0
2021-06-11,sh.601766,7.6110570400,7.6855535200,7.5862248800,7.6483052800,7.6358892000,101150352,622784635.7300,1,0.415800,1,0.162600,0
2021-06-15,sh.601766,7.6483052800,7.6855535200,7.4744801600,7.5241444800,7.6483052800,88361709,537768575.0700,1,0.363200,1,-1.623400,0
2021-06-16,sh.601766,7.5489766400,7.8842108000,7.5117284000,7.7848821600,7.5241444800,225103714,1409852144.7200,1,0.925300,1,3.465300,0
2021-06-17,sh.601766,7.7848821600,7.8345464800,7.6731374400,7.7103856800,7.7848821600,115783586,720728584.1500,1,0.475900,1,-0.956900,0
2021-06-18,sh.601766,7.7103856800,7.7972982400,7.6731374400,7.7972982400,7.7103856800,148640299,928413304.4600,1,0.611000,1,1.127200,0
