date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601888,614.3096460000,654.8715098600,613.7650452500,636.6382767500,615.2899273500,14034748,4127327800.7200,1,0.718800,1,3.469600,0
2021-01-05,sh.601888,631.7368700000,652.8455950700,629.5584670000,638.3156470600,636.6382767500,11871365,3480973442.7400,1,0.608000,1,0.263500,0
2021-01-06,sh.601888,631.7368700000,640.0801534900,618.7100200600,627.3800640000,638.3156470600,12638099,3640459353.9200,1,0.647300,1,-1.713200,0
2021-01-07,sh.601888,639.0345200500,677.4833330000,631.7368700000,677.4833330000,627.3800640000,15115316,4534780265.9400,1,0.774200,1,7.986100,0
2021-01-08,sh.601888,677.4833330000,678.3546942000,625.2016610000,633.9152730000,677.4833330000,19617712,5823692598.4400,1,1.004800,1,-6.430900,0
2021-01-11,sh.601888,631.7368700000,666.7655902400,618.8842923000,650.0354552000,633.9152730000,17050041,5065001160.1100,1,0.873300,1,2.543000,0
2021-01-12,sh.601888,644.6983678500,701.1407895800,643.9141427700,695.1283973000,650.0354552000,12410766,3857765100.8500,1,0.635600,1,6.937000,0
2021-01-13,sh.601888,692.7321540000,694.9105570000,637.4007178000,653.4991159700,695.1283973000,18116575,5483084017.9100,1,0.927900,1,-5.988700,0
2021-01-14,sh.601888,639.4919846800,641.1911390200,602.7205420400,611.1509616500,653.4991159700,24030570,6809999499.1700,1,1.230800,1,-6.480200,0
2021-01-15,sh.601888,608.8418544700,624.5481401000,593.6148175000,609.9746240300,611.1509616500,15142461,4237712893.2400,1,0.775600,1,-0.192500,0
2021-01-18,sh.601888,606.0752826600,607.7744370000,583.8120040000,597.3181026000,609.9746240300,17356624,4748017549.0400,1,0.889000,1,-2.074900,0
2021-01-19,sh.601888,603.6572553300,614.1571577900,583.8120040000,584.1387644500,597.3181026000,13525147,3693985646.0700,1,0.692700,1,-2.206400,0
2021-01-20,sh.601888,588.7569788100,599.0390409700,572.9199890000,594.5733148200,584.1387644500,14038571,3800141222.8600,1,0.719000,1,1.786300,0
2021-01-21,sh.601888,591.4146304700,601.1956599400,572.9199890000,592.5256160000,594.5733148200,19695482,5298221443.4400,1,1.008700,1,-0.344400,0
