date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.002714,39.3500000000,39.7000000000,38.8200000000,39.5500000000,39.3100000000,393308,15517643.0000,1,0.650096,1,0.610500,0
2014-06-04,sz.002714,39.6700000000,39.6800000000,37.7100000000,37.8700000000,39.5500000000,1355454,51660714.0000,1,2.240420,1,-4.247800,0
2014-06-05,sz.002714,37.5200000000,37.9600000000,37.3100000000,37.7300000000,37.8700000000,1255787,47189853.0000,1,2.075681,1,-0.369700,0
2014-06-06,sz.002714,37.6600000000,39.0000000000,37.6600000000,38.1800000000,37.7300000000,674812,25905238.0000,1,1.115392,1,1.192700,0
2014-06-09,sz.002714,38.1800000000,39.0600000000,37.8000000000,38.5000000000,38.1800000000,1053230,40766132.0000,1,1.740876,1,0.838100,0
2014-06-10,sz.002714,38.7800000000,40.4100000000,38.5300000000,39.9000000000,38.5000000000,1215755,48074828.0000,1,2.009512,1,3.636400,0
2014-06-11,sz.002714,39.8800000000,39.9800000000,39.2100000000,39.3000000000,39.9000000000,450901,17810492.0000,1,0.745291,1,-1.503800,0
2014-06-12,sz.002714,39.4800000000,40.0200000000,39.1200000000,39.4000000000,39.3000000000,525658,20840113.0000,1,0.868856,1,0.254500,0
2014-06-13,sz.002714,39.3600000000,40.1000000000,39.1300000000,39.5800000000,39.4000000000,785752,31226972.0000,1,1.298764,1,0.456900,0
2014-06-16,sz.002714,39.9800000000,41.5000000000,39.6100000000,40.9800000000,39.5800000000,1623407,66258684.0000,1,2.683317,1,3.537100,0
2014-06-17,sz.002714,40.8100000000,41.3500000000,40.5500000000,41.1100000000,40.9800000000,816596,33515181.0000,1,1.349745,1,0.317200,0
2014-06-18,sz.002714,40.8800000000,40.9800000000,39.1000000000,40.2100000000,41.1100000000,665828,26524578.0000,1,1.100542,1,-2.189300,0
2014-06-19,sz.002714,40.2000000000,40.2000000000,38.2000000000,38.6900000000,40.2100000000,569568,22256273.0000,1,0.941435,1,-3.780200,0
2014-06-20,sz.002714,38.3700000000,40.3900000000,38.3700000000,40.2600000000,38.6900000000,355580,14139842.0000,1,0.587736,1,4.057900,0
2014-06-23,sz.002714,40.2600000000,41.7000000000,40.0000000000,40.7500000000,40.2600000000,830598,34015828.0000,1,1.372889,1,1.217100,0
2014-06-24,sz.002714,40.7500000000,40.9300000000,39.3800000000,39.9000000000,40.7500000000,629185,25085912.0000,1,1.039975,1,-2.085900,0
2014-06-25,sz.002714,39.6200000000,42.5800000000,39.0500000000,42.5800000000,39.9000000000,1385870,56937904.0000,1,2.290694,1,6.716800,0
2014-06-26,sz.002714,42.0000000000,44.8000000000,42.0000000000,43.8100000000,42.5800000000,2589207,112816751.0000,1,4.279681,1,2.888700,0
2014-06-27,sz.002714,43.1700000000,44.2000000000,42.6500000000,43.2800000000,43.8100000000,1863607,80630001.0000,1,3.080342,1,-1.209800,0
2014-06-30,sz.002714,42.9800000000,44.2000000000,42.5000000000,44.0500000000,43.2800000000,1253014,54586418.0000,1,2.071098,1,1.779100,0
2014-07-01,sz.002714,44.0800000000,44.3900000000,43.5800000000,44.0400000000,44.0500000000,871620,38300586.0000,1,1.440694,1,-0.022700,0
2014-07-02,sz.002714,44.0000000000,44.0000000000,42.3000000000,43.4000000000,44.0400000000,1147161,49440969.0000,1,1.896134,1,-1.453200,0
2014-07-03,sz.002714,43.2000000000,43.2000000000,42.3000000000,42.5200000000,43.4000000000,877179,37499464.0000,1,1.449883,1,-2.027700,0
2014-07-04,sz.002714,42.7512662800,43.7064333300,42.5099609200,42.9825172500,42.5200153100,549838,23579420.0000,1,0.908823,1,1.087700,0
2014-07-07,sz.002714,42.8115926200,43.3846928500,41.4743587500,42.2284380000,42.9825172500,824086,34501171.0000,1,1.362126,1,-1.754400,0
2014-07-08,sz.002714,42.1379484900,43.1132243200,41.5246307000,42.2284380000,42.2284380000,1129702,47478579.0000,1,1.867276,1,0.000000,0
2014-07-09,sz.002714,42.1580572700,42.6708311600,41.2229990000,41.6653921600,42.2284380000,840030,34971796.0000,1,1.388479,1,-1.333300,0
2014-07-10,sz.002714,41.2732709500,41.9066975200,41.2732709500,41.4240868000,41.6653921600,733130,30214657.0000,1,1.211785,1,-0.579100,0
2014-07-11,sz.002714,41.3235429000,42.2183836100,40.4287021900,42.1781660500,41.4240868000,1291498,53090593.0000,1,2.134707,1,1.820400,0
2014-07-14,sz.002714,42.2284380000,45.2246462200,42.1982748300,44.4806213600,42.1781660500,1401595,61617979.0000,1,2.316686,1,5.458900,0
2014-07-15,sz.002714,44.2393160000,47.1349803200,43.7466508900,45.7977464500,44.4806213600,1383524,63151398.0000,1,2.286817,1,2.961100,0
2014-07-16,sz.002714,45.4558971900,47.3561769000,44.5007301400,45.7474745000,45.7977464500,864009,39440773.0000,1,1.428114,1,-0.109800,0
2014-07-17,sz.002714,45.9787254700,46.1496501000,44.6012740400,45.8480184000,45.7474745000,309834,14027826.0000,1,0.512122,1,0.219800,0
2014-07-18,sz.002714,45.2447550000,46.8232942300,44.8425794000,46.6523696000,45.8480184000,521135,24066901.0000,1,0.861380,1,1.754400,0
2014-07-21,sz.002714,46.6523696000,47.7181349400,45.3251901200,47.4567208000,46.6523696000,742846,34582743.0000,1,1.227845,1,1.724100,0
2014-07-22,sz.002714,46.5819888700,52.0616314200,46.3809010700,49.5580883100,47.4567208000,986760,49100997.0000,1,1.631008,1,4.428000,0
2014-07-23,sz.002714,49.9703183000,51.8303804500,47.7684068900,49.7290129400,49.5580883100,1049136,51402465.0000,1,1.734109,1,0.344900,0
2014-07-24,sz.002714,49.9703183000,50.1814604900,47.1249259300,48.7637915000,49.7290129400,964642,47008909.0000,1,1.594450,1,-1.941000,0
2014-07-25,sz.002714,48.8643354000,49.2665110000,47.1048171500,48.5627037000,48.7637915000,754277,35916717.0000,1,1.246739,1,-0.412400,0
2014-07-28,sz.002714,48.4621598000,50.2719500000,47.1249259300,49.5078163600,48.5627037000,744105,36088889.0000,1,1.229926,1,1.946200,0
2014-07-29,sz.002714,49.4675988000,49.4877075800,48.0197666400,48.6632476000,49.5078163600,967866,46792640.0000,1,1.599779,1,-1.705900,0
2014-07-30,sz.002714,46.2703027800,48.2610720000,46.2703027800,47.8086244500,48.6632476000,879999,41478842.0000,1,1.454544,1,-1.756200,0
2014-07-31,sz.002714,47.5170471400,51.7499453300,47.3863400700,50.5233097500,47.8086244500,1261501,62945796.0000,1,2.085126,1,5.678200,0
2014-08-01,sz.002714,50.5032009700,52.7855475000,50.0708622000,51.2371714400,50.5233097500,693210,35570898.0000,1,1.145802,1,1.412900,0
2014-08-04,sz.002714,50.9757573000,53.7708777200,49.7792848900,52.7855475000,51.2371714400,985325,51335788.0000,1,1.628636,1,3.022000,0
2014-08-05,sz.002714,52.3330999500,53.2681582200,51.1064643700,52.8157106700,52.7855475000,501349,26049337.0000,1,0.828676,1,0.057100,0
2014-08-06,sz.002714,52.8257650600,52.8659826200,50.9958660800,51.9811963000,52.8157106700,566873,29216698.0000,1,0.936980,1,-1.580000,0
2014-08-07,sz.002714,51.9811963000,52.2727736100,50.1512973200,50.5735817000,51.9811963000,1591699,79717769.0000,1,2.630907,1,-2.707900,0
2014-08-08,sz.002714,50.5233097500,53.0871792000,49.7692305000,52.5140789700,50.5735817000,817174,41663725.0000,1,1.350701,1,3.837000,0
2014-08-11,sz.002714,52.1822841000,57.2698054400,52.1621753200,56.7067596000,52.5140789700,1406012,76971234.0000,1,2.323987,1,7.983900,0
2014-08-12,sz.002714,57.2094791000,57.3502405600,55.0980572000,56.3045840000,56.7067596000,817969,45554479.0000,1,1.352015,1,-0.709200,0
2014-08-13,sz.002714,56.1034962000,56.9279561800,54.9170781800,55.1181659800,56.3045840000,665558,36798006.0000,1,1.100096,1,-2.107100,0
2014-08-14,sz.002714,54.8466974500,55.6611030400,54.2032164900,54.4143586800,55.1181659800,549572,29923368.0000,1,0.908383,1,-1.276900,0
2014-08-15,sz.002714,54.4545762400,55.0477852500,54.3037603900,54.4143586800,54.4143586800,391924,21296208.0000,1,0.647808,1,0.000000,0
2014-08-18,sz.002714,54.4445218500,55.6007767000,54.1428901500,54.4947938000,54.4143586800,726548,39603042.0000,1,1.200906,1,0.147800,0
2014-08-19,sz.002714,54.2937060000,55.7013206000,52.3431543400,54.8969694000,54.4947938000,1392029,74550112.0000,1,2.300874,1,0.738000,0
2014-08-20,sz.002714,54.5048481900,54.8567518400,53.5094635800,53.6904426000,54.8969694000,755548,40628388.0000,1,1.248840,1,-2.197800,0
2014-08-21,sz.002714,53.5094635800,53.7909865000,52.7855475000,53.6904426000,53.6904426000,869028,45901814.0000,1,1.436410,1,0.000000,0
2014-08-22,sz.002714,53.7909865000,54.9472413500,53.0871792000,54.8969694000,53.6904426000,754126,40593884.0000,1,1.246489,1,2.247200,0
2014-08-25,sz.002714,55.0980572000,55.0980572000,52.2828280000,52.2928823900,54.8969694000,1087185,57674370.0000,1,1.797000,1,-4.743600,0
